City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
2,Mahibadhoo,MV,81.32,overcast clouds,3.7833,72.9667,Omadhoo Inn
7,Hilo,US,86.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Vaini,TO,76.48,light rain,-21.2,-175.2,Keleti Beach Resort
12,Kongolo,CD,75.9,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
23,Kalmunai,LK,79.39,overcast clouds,7.4167,81.8167,VS Villa
27,Kavieng,PG,81.93,light rain,-2.5744,150.7967,Nusa Island Retreat
28,Bandarbeyla,SO,77.41,broken clouds,9.4942,50.8122,JABIR HOTEL
31,Half Moon Bay,US,83.53,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
41,Faanui,PF,77.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Kavaratti,IN,81.19,broken clouds,10.5669,72.642,Green leaf
46,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Soyo,AO,75.78,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
55,Luwuk,ID,76.89,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
64,Kahului,US,81.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
67,Galveston,US,89.1,clear sky,29.3669,-94.9669,Crystal Suites
71,Sesheke,ZM,79.56,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
74,Kapaa,US,80.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Butaritari,KI,81.79,clear sky,3.0707,172.7902,Isles Sunset Lodge
76,Bengkulu,ID,76.1,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
80,Alofi,NU,76.96,overcast clouds,-19.0595,-169.9187,Taloa Heights
82,Victoria,HK,83.32,scattered clouds,22.2855,114.1577,Mini Central
87,Sungairaya,ID,76.05,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
91,Labuhan,ID,77.29,overcast clouds,-6.8844,112.2051,DoubleFAG
103,Sabang,ID,78.78,light rain,5.8933,95.3214,Hotel Citra
110,Harper,LR,76.57,overcast clouds,4.375,-7.7169,Screensaver
112,Progreso,MX,88.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
113,Dhidhdhoo,MV,80.89,overcast clouds,6.8833,73.1,Dhidhoo beach
117,Porto Novo,BJ,77.27,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
120,Guerrero Negro,MX,76.26,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Makakilo City,US,81.61,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
129,Santa Rosa,PH,80.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
138,Salaga,GH,76.14,light rain,8.5508,-0.5188,Bore Nada Guest House
143,Oussouye,SN,81.0,few clouds,12.485,-16.5469,Auberge du Routard
144,Eureka,US,76.68,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
147,Gizo,SB,81.73,broken clouds,-8.103,156.8419,Imagination Island
149,Rawah,IQ,82.85,clear sky,34.4816,41.9093,عمر
152,Atuona,PF,77.31,clear sky,-9.8,-139.0333,Villa Enata
155,Grand-Lahou,CI,75.83,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
156,Bonthe,SL,78.26,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
157,Winnemucca,US,76.08,clear sky,40.973,-117.7357,Winners Inn Casino
160,Cassilandia,BR,85.17,light rain,-19.1133,-51.7342,Delirius Motel
171,Zahir Pir,PK,82.8,clear sky,28.8124,70.524,The Secret Service Bed and Breakfast
177,Ozark,US,85.51,scattered clouds,37.0209,-93.206,Days Inn by Wyndham Ozark Springfield
178,Presidencia Roque Saenz Pena,AR,82.02,broken clouds,-26.7852,-60.4388,Hotel Gualok
180,Auki,SB,76.93,overcast clouds,-8.7676,160.7034,Auki Motel
181,Bozdar,PK,85.78,clear sky,27.1828,68.636,Hadi Hassan Shah Stop
182,Evanston,US,77.81,broken clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
184,Port Keats,AU,80.33,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
185,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
187,Sola,VU,80.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
188,Saint George,US,86.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
196,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
197,Bhag,PK,86.41,clear sky,29.0415,67.8239,Bukhari hotl
201,Bambanglipuro,ID,76.17,overcast clouds,-7.95,110.2833,Puri Brata
204,Phan Thiet,VN,77.38,overcast clouds,10.9333,108.1,Hotel Saigon-PT
208,Ranong,TH,77.61,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
210,Buraydah,SA,82.49,clear sky,26.326,43.975,Mövenpick Qassim
212,Wanning,CN,79.23,broken clouds,18.8003,110.3967,Paradise Hotel
214,Georgetown,MY,77.9,moderate rain,5.4112,100.3354,Cititel Penang
225,Puerto Carreno,CO,83.37,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
226,Tikrit,IQ,87.82,clear sky,34.6071,43.6782,عماره العبطه
230,Kismayo,SO,77.05,broken clouds,-0.3582,42.5454,Agan-Hotel
232,Safaga,EG,84.18,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
233,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
238,Fare,PF,77.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
243,Sur,OM,81.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
245,Santa Helena,BR,88.21,scattered clouds,-2.2311,-45.3,Turi Plaza Hotel
246,Obregon,NI,89.69,broken clouds,11.9566,-85.9636,Hostal Casa Aryen
247,Touros,BR,79.32,clear sky,-5.1989,-35.4608,INN NEW HORIZON
249,Beruwala,LK,76.98,overcast clouds,6.4788,79.9828,The Palms Hotel
250,Lexington,US,77.74,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
252,Hwange,ZW,78.64,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
258,Rock Hill,US,77.41,clear sky,34.9249,-81.0251,DDCSVC
264,Mitsamiouli,KM,75.24,clear sky,-11.3847,43.2844,Foyer ADM
267,Tabou,CI,76.32,overcast clouds,4.423,-7.3528,hotêl doufoulougou
268,Bud,US,78.85,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
272,Simiti,CO,87.28,overcast clouds,7.9579,-73.9436,Cancha la original
274,Villa Bisono,DO,88.11,overcast clouds,19.5638,-70.8758,Alixco
275,Itarema,BR,80.46,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
