City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poroshkovo,UA,48.6683,22.7533,48.9,100,100,3.69,overcast clouds
1,Avarua,CK,-21.2078,-159.775,77.05,69,40,17.27,scattered clouds
2,Mahibadhoo,MV,3.7833,72.9667,81.32,78,100,18.92,overcast clouds
3,New Norfolk,AU,-42.7826,147.0587,49.91,70,100,1.99,overcast clouds
4,Khatanga,RU,71.9667,102.5,6.4,99,84,3.0,broken clouds
5,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,53,10.0,broken clouds
6,Mataura,NZ,-46.1927,168.8643,38.48,89,100,8.08,overcast clouds
7,Hilo,US,19.7297,-155.09,86.29,86,19,1.01,few clouds
8,Rikitea,PF,-23.1203,-134.9692,69.01,64,0,22.28,clear sky
9,Puerto Ayora,EC,-0.7393,-90.3518,69.55,88,76,5.99,broken clouds
10,Vaini,TO,-21.2,-175.2,76.48,87,100,13.56,light rain
11,Hobart,AU,-42.8794,147.3294,50.25,81,75,13.8,broken clouds
12,Kongolo,CD,-5.3833,27.0,75.9,66,92,3.44,overcast clouds
13,East London,ZA,-33.0153,27.9116,65.91,82,100,9.78,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,61.18,90,93,4.0,overcast clouds
15,Lebu,CL,-37.6167,-73.65,54.59,69,100,9.84,overcast clouds
16,Ulladulla,AU,-35.35,150.4667,56.3,94,100,14.16,light rain
17,Petukhovo,RU,55.0692,67.9019,45.68,38,100,7.96,overcast clouds
18,Honningsvag,NO,70.9821,25.9704,44.35,81,100,19.57,overcast clouds
19,Sungaipenuh,ID,-2.0833,101.3833,65.23,93,94,2.46,moderate rain
20,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,13.8,overcast clouds
21,Westport,US,41.1415,-73.3579,62.31,90,100,10.36,thunderstorm
22,Fort Nelson,CA,58.8053,-122.7002,54.23,46,85,3.58,overcast clouds
23,Kalmunai,LK,7.4167,81.8167,79.39,79,100,4.14,overcast clouds
24,Port Elizabeth,ZA,-33.918,25.5701,61.32,85,40,9.22,scattered clouds
25,Barrow,US,71.2906,-156.7887,37.42,65,20,23.02,few clouds
26,Albany,US,42.6001,-73.9662,64.89,80,98,3.78,overcast clouds
27,Kavieng,PG,-2.5744,150.7967,81.93,77,100,13.22,light rain
28,Bandarbeyla,SO,9.4942,50.8122,77.41,83,72,18.01,broken clouds
29,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.55,85,73,11.1,broken clouds
30,Hermanus,ZA,-34.4187,19.2345,55.8,81,0,12.68,clear sky
31,Half Moon Bay,US,37.4636,-122.4286,83.53,74,100,6.91,overcast clouds
32,Severo-Kurilsk,RU,50.6789,156.125,42.53,63,65,17.34,broken clouds
33,Tasiilaq,GL,65.6145,-37.6368,21.74,62,72,5.26,broken clouds
34,Nanortalik,GL,60.1432,-45.2371,37.9,87,51,13.71,broken clouds
35,Castro,BR,-24.7911,-50.0119,72.81,70,100,2.24,overcast clouds
36,Leningradskiy,RU,69.3833,178.4167,26.73,87,100,12.12,overcast clouds
37,Nikolskoye,RU,59.7035,30.7861,46.8,96,90,5.61,overcast clouds
38,Milkovo,RU,54.7167,158.6167,34.66,70,14,12.21,few clouds
39,Busselton,AU,-33.65,115.3333,48.6,63,12,8.5,few clouds
40,Moron,AR,-34.6534,-58.6198,73.02,57,84,8.59,broken clouds
41,Faanui,PF,-16.4833,-151.75,77.59,75,40,26.31,light rain
42,Creston,US,41.0586,-94.3614,72.34,56,100,11.5,overcast clouds
43,Kavaratti,IN,10.5669,72.642,81.19,79,78,15.39,broken clouds
44,Bluff,NZ,-46.6,168.3333,38.8,69,94,22.03,overcast clouds
45,Bredasdorp,ZA,-34.5322,20.0403,51.37,90,0,5.28,clear sky
46,Hithadhoo,MV,-0.6,73.0833,82.27,74,100,18.43,overcast clouds
47,Navalmoral De La Mata,ES,39.8916,-5.5406,73.33,31,0,1.68,clear sky
48,Farafangana,MG,-22.8167,47.8333,69.22,90,0,9.53,clear sky
49,Qaanaaq,GL,77.484,-69.3632,6.98,73,50,7.72,scattered clouds
50,Cabo San Lucas,MX,22.8909,-109.9124,91.62,57,6,4.18,clear sky
51,Ilulissat,GL,69.2167,-51.1,26.62,63,20,1.14,few clouds
52,Camacha,PT,33.0833,-16.3333,67.42,68,40,13.8,scattered clouds
53,Soyo,AO,-6.1349,12.3689,75.78,86,80,11.52,broken clouds
54,Vao,NC,-22.6667,167.4833,70.48,56,99,8.68,overcast clouds
55,Luwuk,ID,-0.9516,122.7875,76.89,88,100,1.86,overcast clouds
56,Upernavik,GL,72.7868,-56.1549,19.15,79,56,5.12,broken clouds
57,Punta Arenas,CL,-53.15,-70.9167,53.11,62,100,15.61,overcast clouds
58,Jamestown,US,42.097,-79.2353,68.02,41,8,4.0,clear sky
59,Polovinnoye,RU,54.7914,65.9864,47.12,31,100,8.41,overcast clouds
60,Lanigan,CA,51.8501,-105.0344,51.28,40,86,14.25,overcast clouds
